sample_id,soil_type,mean_speed,std_speed,mean_accel_x,std_accel_x,mean_accel_y,std_accel_y,mean_accel_z,std_accel_z,mean_gyro_x,std_gyro_x,mean_gyro_y,std_gyro_y,mean_gyro_z,std_gyro_z,speed_drop,rms_accel_z,cluster_label
73,gravel,3.255859374999999,0.09417329764937342,-0.3830722649967615,1.9631248863144357,-1.1999813657452956,2.3568967031514454,10.294505990666707,2.654604076941378,5.4730373636718745,6.800002768237743,6.537252293593751,10.01766010620805,32.68245046796875,15.877606854318769,-0.56,10.628674532262712,0
74,gravel,3.6101562500000006,0.1598502467247167,0.41797523439587025,1.5923010631603216,-1.338321320445997,2.333162012106136,9.649119005267766,2.728037195959473,3.5084794482031247,5.980839376935077,-8.256478724921875,11.901994884020345,11.6125190171875,23.411052868826868,0.3640000000000003,10.024447238370275,5
75,gravel,3.358703125,0.019072327884788652,0.04141220758750598,2.190143906795789,-2.076969940706525,3.5100851336156347,9.703961174442641,5.14328628024353,6.458174554999999,8.555782579146,-6.5782202514062496,18.504293642300677,11.941692105703126,40.58563440604513,-0.038000000000000256,10.973312585399057,5
76,gravel,3.3229218749999996,0.03325506518165655,-0.38082770380574554,2.1625535910920126,-2.278644030493897,2.423245285894223,9.649156413117261,4.592302924726412,2.169397905703125,10.041099529667015,-3.0997523291406246,14.224803524270946,11.95788860921875,24.015549083557904,0.07500000000000018,10.678516090809937,5
77,gravel,3.073992187499999,0.15044545385007,-0.5936871868451747,2.008661766843084,-2.1579987083292367,2.339241398980717,9.261557609537999,3.5201422297677456,2.5100038110937497,13.995414709909232,-4.971894008046875,14.050846969757966,-27.53620412578125,11.892695768672317,0.5219999999999998,9.903082492324808,5
78,gravel,2.8368593750000004,0.06460695635189072,-0.9123030645722274,2.592225631367769,-2.486715119563808,2.726480047269846,9.35979469315017,3.642513609579307,3.1612042944531247,10.653861865403341,-0.9751333721874994,19.69880652642569,-6.126143353125,30.352954141400186,-0.1299999999999999,10.038426499356685,5
79,gravel,3.059749999999999,0.10621475793480668,-0.7510311374534129,2.417367818797755,-2.715660641594238,2.141597084071192,9.206079467541837,3.402555007632678,2.578601341875,7.5291475027951975,9.151581529921875,13.727935198285211,6.130430510859375,19.191516032236112,-0.22399999999999975,9.810139216997923,0
80,gravel,2.7532187500000003,0.19342503227409885,-0.8267103498969368,2.1286900383406677,-1.5779285334318451,1.7587864946377576,9.329418275752587,2.0087835916901318,-6.331459592890624,9.73953661992947,-3.3312690882812497,11.465342316422813,-4.963795790546874,25.170035648298214,0.8019999999999996,9.541579103702048,5
81,gravel,2.3329999999999993,8.91668328702847e-16,-0.2625017677248296,1.8239178737164041,-2.0817957561054525,2.776838528076225,9.28097305508785,4.316539150998255,0.19721802914062508,13.916451290517044,-0.0909870429687503,9.166966630692372,-0.11432932968749986,17.20876938851402,0.0,10.228558285755671,1
82,gravel,2.6301718749999994,0.24280104649513726,-0.7666308523321561,1.444621828268549,-1.9964649120021607,3.2435533881479675,9.72315220024687,5.633085979119655,2.27801073078125,10.758826648074823,-0.07336130632812499,8.487741789777736,-3.406059483671875,22.67521487047331,-0.4939999999999998,11.226016336258548,1
83,gravel,2.9853593750000007,0.07367781900802654,-0.5501800621941331,3.0394733156000795,-1.9453636681768267,3.224341782762434,9.698910915946005,4.622653538998997,-0.07907777109374985,8.620528032563113,1.710175282109375,13.592927697799334,13.182641134375,45.25065075794131,-0.24299999999999988,10.736426498827257,0
84,gravel,3.1355312499999988,0.10517057292536172,-0.13108253499424183,2.702247072282894,-2.2437036453961405,3.2381016324840575,9.296049093638423,4.7517494361630925,1.055640176015625,17.994200439425537,-2.6300495405468753,12.875547775698676,-3.6999809664062493,28.710969138801595,-0.2330000000000001,10.431646660968076,5
